Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SLS01G02142,2025.06,3108,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02143,2009.06,137,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2010.06,225,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2011.06,163,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2012.06,192,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2013.06,190,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2014.06,317,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2015.06,256,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2016.06,337,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2017.06,415,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2018.06,435,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2019.06,499,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2020.06,202,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2021.06,176,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2022.06,179,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2023.06,241,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2024.06,296,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02143,2025.06,295,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SLS01G02144,2009.06,171,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2010.06,160,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2011.06,169,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2012.06,151,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2013.06,143,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2014.06,158,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2015.06,189,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2016.06,178,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2017.06,165,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2018.06,187,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2019.06,213,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2020.06,177,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2021.06,161,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2022.06,181,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2023.06,328,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2024.06,475,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02144,2025.06,486,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SLS01G02981,2009.06,747,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2010.06,806,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2011.06,948,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
