region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,39.86
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,55.66
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2022,41.14
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2023,35.98
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2024,39.7
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2025,41.32
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,29.2
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,31.55
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,29.49
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,39.37
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,42.15
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,44.4
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,52.85
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,38.83
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,50.47
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,32.95
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,43.13
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,37.57
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,36.42
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,40.82
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,43.86
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2022,48.21
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2023,41.24
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2024,50.99
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2025,40.53
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,53.44
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,66.08
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,62.86
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,63.42
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,60.17
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,58.51
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,55.27
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,56.22
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,51.95
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,53.98
