Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SGS01G02140,2022.06,212,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2023.06,226,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2024.06,194,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2025.06,142,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02142,2009.06,5112,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2010.06,5494,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2011.06,5787,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2012.06,6300,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2013.06,6318,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2014.06,6461,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2015.06,6474,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2016.06,6929,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2017.06,7403,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2018.06,7457,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2019.06,8050,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2020.06,7950,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2021.06,7803,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2022.06,7900,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2023.06,8629,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2024.06,9699,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02142,2025.06,10279,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SGS01G02143,2009.06,1497,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
