year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2022,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,23548.42
2022,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,23548422.97
2023,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,22944.76
2023,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,22944762.78
2024,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,22897.55
2024,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,22897545.12
2007,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,14167.08
2007,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,14167076.75
2008,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,14712.05
2008,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,14712051.14
2009,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,15114.85
2009,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,15114847.67
2010,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,15220.82
2010,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,15220820.6
2011,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,16333.38
2011,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,16333376.16
2012,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,16838.36
2012,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,16838363.2
2013,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,17084.35
2013,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,17084346.96
2014,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,17897.71
2014,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,17897714.74
2015,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18111.13
2015,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18111129.99
2016,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18410.19
2016,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18410188.21
2017,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,17996.97
2017,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,17996972.54
2018,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18100.61
2018,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18100611.84
2019,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18667.41
2019,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18667406.22
2020,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18330.83
2020,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18330833.15
2021,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18894.6
2021,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18894599.05
2022,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,17921.63
2022,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,17921629.25
2023,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,17483.8
2023,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,17483798.16
2024,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,17331.78
2024,AA131,Dairy cattle farming,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,17331775.89
2007,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1538.1
2007,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1538101.06
2008,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1528.7
2008,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1528699.49
2009,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1367.72
2009,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1367718.52
2010,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1292.01
2010,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1292007.34
2011,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1099.14
2011,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1099140.37
2012,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1060.73
2012,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1060731.42
2013,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1061.1
2013,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1061104.23
